test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
test,gradient_conf_max,100,69.65396771601813,69.5004405976342,0.1535271183839447,0.6012613798274465,0.27452009180325865,1.0,False,0.06012613798274466,0.02
test,gradient_input_avg,100,69.21546473435355,69.5004405976342,-0.2849758632806366,-0.9582305576907889,0.8298595950838328,1.0,False,-0.0958230557690789,0.02
test,gradient_input_max,100,69.22471349488596,69.5004405976342,-0.27572710274823664,-0.9789991792197668,0.8350166421125014,1.0,False,-0.09789991792197666,0.02
test,hamming_max,100,69.4345715483798,69.5004405976342,-0.0658690492544057,-0.23502506755364908,0.592662641048695,1.0,False,-0.02350250675536491,0.02
test,hamming_min,100,69.3910817423702,69.5004405976342,-0.10935885526398635,-0.42661783627927863,0.6647080136522532,1.0,False,-0.042661783627927864,0.02
test,model_grad_avg,100,68.94796851741712,69.5004405976342,-0.5524720802170536,-2.1406194988849103,0.9826196203213656,1.0,False,-0.214061949888491,0.02
test,model_grad_max,100,69.32107794216198,69.5004405976342,-0.17936265547222,-0.6934815137582763,0.7551843561938727,1.0,False,-0.06934815137582762,0.02
test,qbc,100,70.09945754722526,69.5004405976342,0.5990169495910812,2.6322012697115422,0.00492108150851975,0.0688951411192765,False,0.2632201269711542,0.02
test,threshold_avg,100,70.204071748267,69.5004405976342,0.703631150632814,2.5893682711492394,0.005531909387939407,0.0774467314311517,False,0.25893682711492394,0.02
test,threshold_max,100,70.12325173392645,69.5004405976342,0.6228111362922709,2.3048427999104293,0.011631759708101812,0.16284463591342535,False,0.23048427999104296,0.02
